TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,"914,950","717,029","604,915","465,890","348,181","213,102","219,340","195,746","287,271","360,032","561,339","792,345",,"5,680,141","5,680,141",0.0%,-,-,
TOTAL *,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,-,-,0,0.0%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kWh,,,,,,,,,,,,,,,,,,,,,,,,,Grupo de peaje,2023,,,,,,,,,,,,,,2024,,,,,,,,,,,,,Total 2024,Var Ene-Dec 2024,Var %,Var Ene-Dec 2024 *,Var % *,Última fecha hasta factura
Nº,Descripción,CUPS,Código de Suministro,Dirección,Código postal,Municipio,Provincia,Tipo Punto de Suministro,Estado Punto de Suministro,Razón Social,CIF,Etiquetas,Área Organizativa,Categoría,Nivel 1,Nivel 2,Nivel 3,Nivel 4,Nivel 5,Nivel 6,Nivel 7,Nivel 8,Nivel 9,Nivel 10,,ene,feb,mar,abr,may,jun,jul,ago,sept,oct,nov,dic,Total 2023,,ene,feb,mar,abr,may,jun,jul,ago,sept,oct,nov,dic,,,,,,,
1,Hospital de Coslada,ES0237902000027300QY,Hospital de Coslada,"Calle Joaquin de Cárdenas, 2",28821,Coslada,Madrid,,Alta,ASEPEYO,G08215824,,ZC,,HOSPITAL DE COSLADA_ASEPEYO,ZC,,,,,,,,,RLTA.6,-,-,-,-,-,-,-,-,-,-,-,-,0,,"706,175","569,977","487,177","344,860","232,124","128,816","126,998","112,929","182,967","268,027","438,071","635,256",,"4,233,377","4,233,377",-,0,-,2024-12-31
2,Hospital Sant Cugat,ES0217901000014439PK,Hospital Sant Cugat,"Avenida de Alcalde Barnils, 54-60",8000,Sant Cugat del Vallès,Barcelona,,Alta,ASEPEYO,G08215824,,ZB,,HOSPITAL DE SANT CUGAT_ASEPEYO,ZB,,,,,,,,,RLTB.5,-,-,-,-,-,-,-,-,-,-,-,-,0,,"175,237","122,436","92,064","101,365","96,550","74,369","79,574","73,941","91,631","65,625","87,909","105,694",,"1,166,395","1,166,395",-,0,-,2024-12-31
3,C.C. Madrid (Eloy Gonzalo),ES0217020170436953KP,C.C. Madrid (Eloy Gonzalo),"Eloy Gonzalo, 23",28000,Madrid,Madrid,,Alta,ASEPEYO,G08215824,,CA,,MADRID_ASEPEYO,CA,,,,,,,,,RL.4,-,-,-,-,-,-,-,-,-,-,-,-,0,,"26,825","21,701","24,367","18,542","12,686","2,533","3,624","1,286","4,204","16,411","22,238","30,673",,"185,091","185,091",-,0,-,2024-12-31
4,Sevilla-Cartuja,ES0218030044933854KA,Sevilla-Cartuja,"Américo Vespucio, 8 -Isla de la Cartuja-",41001,Sevilla,Sevilla,,Alta,ASEPEYO,G08215824,,KL,,ANDALUCÍA_ASEPEYO,KL,,,,,,,,,RL.4,-,-,-,-,-,-,-,-,-,-,-,-,0,,"4,807",637,27,691,"6,580","7,337","9,104","7,557","8,191","9,513","10,041","10,068",,"74,553","74,553",-,0,-,2024-12-31
5,Alcañiz,ES0208330072350021PZ,Alcañiz,"Avda. Galán Bergua, 31 bajos",44600,Alcañiz,Teruel,,Alta,ASEPEYO,G08215824,,FY,,ARAGÓN_ASEPEYO,FY,,,,,,,,,RL.2,-,-,-,-,-,-,-,-,-,-,-,-,0,,"1,906","2,278","1,280",432,241,48,39,34,278,456,"3,080","4,174",,"14,245","14,245",-,0,-,2024-12-31
