Número de factura,Estado de factura,Tipo de factura,CUPS,Fecha desde,Fecha hasta,Fecha emisión,Fecha inicio energia,Fecha fin energia,Fecha inicio potencia,Fecha fin potencia,Base imponible (€),Dirección,Municipio,Provincia,Nombre suministro,Código suministro,Razón social,CIF,Tarifa de acceso,Comercializadora,Remesa,Tipo de lectura,Número de contador,Lectura inicio consumo activa P1 (kWh),Lectura fin consumo activa P1 (kWh),Consumo activa P1 (kWh),Lectura inicio consumo activa P2 (kWh),Lectura fin consumo activa P2 (kWh),Consumo activa P2 (kWh),Lectura inicio consumo activa P3 (kWh),Lectura fin consumo activa P3 (kWh),Consumo activa P3 (kWh),Lectura inicio consumo activa P4 (kWh),Lectura fin consumo activa P4 (kWh),Consumo activa P4 (kWh),Lectura inicio consumo activa P5 (kWh),Lectura fin consumo activa P5 (kWh),Consumo activa P5 (kWh),Lectura inicio consumo activa P6 (kWh),Lectura fin consumo activa P6 (kWh),Consumo activa P6 (kWh),Consumo activa total (kWh),Lectura inicio consumo reactiva inductiva P1 (kVArh),Lectura fin consumo reactiva inductiva P1 (kVArh),Consumo reactiva inductiva P1 (kVarh),Lectura inicio consumo reactiva inductiva P2 (kVArh),Lectura fin consumo reactiva inductiva P2 (kVArh),Consumo reactiva inductiva P2 (kVarh),Lectura inicio consumo reactiva inductiva P3 (kVArh),Lectura fin consumo reactiva inductiva P3 (kVArh),Consumo reactiva inductiva P3 (kVarh),Lectura inicio consumo reactiva inductiva P4 (kVArh),Lectura fin consumo reactiva inductiva P4 (kVArh),Consumo reactiva inductiva P4 (kVarh),Lectura inicio consumo reactiva inductiva P5 (kVArh),Lectura fin consumo reactiva inductiva P5 (kVArh),Consumo reactiva inductiva P5 (kVarh),Lectura inicio consumo reactiva inductiva P6 (kVArh),Lectura fin consumo reactiva inductiva P6 (kVArh),Consumo reactiva inductiva P6 (kVarh),Consumo reactiva inductiva total (kVarh),Lectura fin maxímetro P1 (kW),Maxímetro P1 (kW),Lectura fin maxímetro P2 (kW),Maxímetro P2 (kW),Lectura fin maxímetro P3 (kW),Maxímetro P3 (kW),Lectura fin maxímetro P4 (kW),Maxímetro P4 (kW),Lectura fin maxímetro P5 (kW),Maxímetro P5 (kW),Lectura fin maxímetro P6 (kW),Maxímetro P6 (kW),Maxímetro total (kW),Potencia contratada P1 (kW),Potencia contratada P2 (kW),Potencia contratada P3 (kW),Potencia contratada P4 (kW),Potencia contratada P5 (kW),Potencia contratada P6 (kW),Importe TE (€),Importe TP (€),Importe TR (€),Importe IE,Importe alquiler (€),Importe impuestos (€),Importe otros conceptos (€),Importe otros conceptos sin IE (€),Cuenta bancaria,Factura rectificada,Importe total (€),Importe excesos P1,Importe excesos P2,Importe excesos P3,Importe excesos P4,Importe excesos P5,Importe excesos P6,Importe excesos de potencia,Nombre del fichero,Importe TE P1(€),Importe TE P2(€),Importe TE P3(€),Importe TE P4(€),Importe TE P5(€),Importe TE P6(€),Importe TP P1(€),Importe TP P2(€),Importe TP P3(€),Importe TP P4(€),Importe TP P5(€),Importe TP P6(€),Consumo vertido (kWh),Precio vertido (€/kWh),Importe TE vertido (€),Ajuste gas,Ignorar restricciones,Estado pago,Tensión lectura,Importe otros conceptos sin IVA
P25COR001237402,ACTIVA,COMPLEMENTARIA,ES0021000002638315XM,31/07/2025,31/08/2025,05/09/2025,,,,,0.00,"Gran Vía Tárrega Monteblanco, 16",Villanueva de Castellón,Valencia/València,CASTELLÓN,1201 - Castellón,ASEPEYO,G08215824,3.0TD,ENDESA,,SIN LECTURA,49897820,56046,56046,0.00,69417,69417,0.00,53347,57144,0.00,46175,48618,0.00,14967,14967,0.00,24049,24670,0.00,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,39.00,66.00,66.00,66.00,66.00,66.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,,,,,,,0.00,19232709,,,,,,,,,,,,,0.00,0.00,0.00,,TRUE,,,
P25CON041511420,ACTIVA,NORMAL,ES0031104482138003EL,31/07/2025,31/08/2025,05/09/2025,,,,,"3,145.35","Avda. Cabo de Gata, 25 . Edf. Vista Bahía",Almería,Almería,ALMERÍA,0401 - Almería,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,95218045,287600,287600,0.00,572937,572937,0.00,149217,154593,"5,376.00",84561,88338,"3,777.00",70865,70865,0.00,118908,122313,"3,405.00","12,558.00",148411,148411,0.00,257848,257848,0.00,61481,65988,"4,465.00",41439,44821,"3,348.00",14630,14630,0.00,34865,37284,"2,094.00","9,907.00",0,0.00,0,0.00,56,56.00,56,56.00,0,0.00,36,36.00,56.00,50.00,71.70,71.70,71.70,71.70,71.70,"2,447.87",216.73,298.73,151.51,30.51,660.52,0.00,0.00,,,"3,805.87",,,,,,,0.00,19229055,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON041064676,ACTIVA,NORMAL,ES0021000002078282VE,31/07/2025,31/08/2025,03/09/2025,,,,,600.84,"Vitoria, 54 bjo.",Burgos,Burgos,BURGOS,0901 - Burgos,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,49516493,70952,70952,0.00,120782,120782,0.00,58125,58965,840.00,39125,39806,681.00,29863,29863,0.00,180264,180733,469.00,"1,990.00",15967,15967,0.00,28936,28936,0.00,13556,13725,169.00,11421,11607,186.00,7105,7105,0.00,32052,32060,8.00,363.00,0,0.00,0,0.00,16,16.42,16,16.70,0,0.00,5,5.00,16.70,38.00,60.00,60.00,60.00,60.00,60.00,390.83,174.94,0.00,28.93,6.14,126.18,0.00,0.00,,,727.02,,,,,,,0.00,19217010,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON041807870,ACTIVA,NORMAL,ES0031405422206002ZD,31/07/2025,31/08/2025,08/09/2025,,,,,"1,782.88",Vía Augusta 18 PB,Barcelona,Barcelona,BARCELONA-VIA AUGUSTA C.A.,0801 - Barcelona-Via Augusta C.A.,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,300038786,55122,55122,0.00,98659,98659,0.00,70316,72711,"2,395.00",52337,54241,"1,904.00",39536,39536,0.00,192448,197046,"4,598.00","8,897.00",717,717,0.00,1798,1798,0.00,1325,1338,13.00,524,545,21.00,721,721,0.00,1267,1279,12.00,46.00,0,0.00,0,0.00,19,19.00,19,19.00,0,0.00,19,19.00,19.00,13.00,14.00,16.00,19.00,19.00,40.00,"1,629.06",54.00,0.00,86.18,11.01,374.40,0.00,0.00,,,"2,157.28",,,,,,,2.63,19251319,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON041064658,ACTIVA,NORMAL,ES0021000012180263AN,31/07/2025,31/08/2025,03/09/2025,,,,,568.88,Calle Trinidad Redal Dufaur 53,Alzira,Valencia/València,ALZIRA,4605 - Alzira,,,3.0TD,ENDESA,,REAL,47511717,40890,40890,0.00,78720,78720,0.00,30715,32001,"1,286.00",20694,21169,475.00,11467,11467,0.00,30013,30685,672.00,"2,433.00",4106,4106,0.00,8395,8395,0.00,2647,2686,39.00,2056,2065,9.00,942,942,0.00,791,796,5.00,53.00,0,0.00,0,0.00,15,15.93,16,16.12,0,0.00,10,10.20,16.12,15.82,17.00,17.00,17.00,17.00,31.17,475.74,59.63,0.00,27.37,6.14,119.46,0.00,0.00,,,688.34,,,,,,,0.00,19216995,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25COR001237404,ACTIVA,COMPLEMENTARIA,ES0021000008769780WS,31/07/2025,31/08/2025,05/09/2025,,,,,0.00,"Avda. Baleares, 16",València,Valencia/València,VALENCIA-BALEARES,4601 - Valencia-Baleares,ASEPEYO,G08215824,3.0TD,ENDESA,,SIN LECTURA,49889984,127608,127608,0.00,165763,165763,0.00,116256,122449,0.00,95462,98084,0.00,30048,30048,0.00,102635,105362,0.00,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,90.00,90.00,90.00,90.00,90.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,,,,,,,0.00,19232725,,,,,,,,,,,,,0.00,0.00,0.00,,TRUE,,,
P25CON041064684,ACTIVA,NORMAL,ES0021000008769780WS,31/07/2025,31/08/2025,03/09/2025,,,,,"2,733.69","Avda. Baleares, 16",València,Valencia/València,VALENCIA-BALEARES,4601 - Valencia-Baleares,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,49889984,127608,127608,0.00,165763,165763,0.00,116256,122449,"6,193.00",95462,98084,"2,622.00",30048,30048,0.00,102635,105362,"2,727.00","11,542.00",24258,24258,0.00,23423,23423,0.00,23477,24628,"1,151.00",16082,16611,529.00,5344,5344,0.00,23769,24458,689.00,"2,369.00",0,0.00,0,0.00,73,73.75,71,71.35,0,0.00,75,75.81,75.81,90.00,90.00,90.00,90.00,90.00,90.00,"2,277.36",317.52,0.00,132.67,6.14,574.07,0.00,0.00,,,"3,307.76",,,,,,,0.00,19217018,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON041511428,ACTIVA,NORMAL,ES0031405422217008DK,31/07/2025,31/08/2025,05/09/2025,,,,,590.60,"Vía Augusta, 48 3-3",Barcelona,Barcelona,"VIA AUGUSTA, 48 3-3","8021 - Via Augusta, 48",ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,97660827,88530,88530,0.00,216442,216442,0.00,81366,82310,944.00,29830,30610,780.00,26501,26501,0.00,56545,57240,695.00,"2,419.00",5482,5482,0.00,12384,12384,0.00,884,885,0.00,55,60,0.00,31,31,0.00,101,101,0.00,0.00,0,0.00,0,0.00,24,24.00,20,20.00,0,0.00,16,16.00,24.00,14.00,19.00,19.00,19.00,19.00,63.00,469.10,63.75,0.00,27.24,30.51,124.03,0.00,0.00,,,714.63,,,,,,,0.00,19229071,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25CON041064686,ACTIVA,NORMAL,ES0021000005501465LT,31/07/2025,31/08/2025,03/09/2025,,,,,"1,711.39","DE SALVADOR DALI,11BIS  BAJO",Madrid,Madrid,PINTO,2808 - Pinto,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,49895537,65902,65902,0.00,87415,87415,0.00,70714,74716,"4,002.00",66749,68140,"1,391.00",24965,24965,0.00,68187,69929,"1,742.00","7,135.00",14247,14247,0.00,19992,19992,0.00,19345,20431,"1,086.00",16560,16797,237.00,4856,4856,0.00,9430,9464,34.00,"1,357.00",0,0.00,0,0.00,68,68.83,62,62.40,0,0.00,41,41.96,68.83,50.00,70.00,70.00,70.00,70.00,70.00,"1,406.83",213.56,0.00,82.85,8.15,359.39,0.00,0.00,,,"2,070.78",,,,,,,0.00,19217020,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,
P25COR001237406,ACTIVA,COMPLEMENTARIA,ES0021000005501465LT,31/07/2025,31/08/2025,05/09/2025,,,,,0.00,"DE SALVADOR DALI,11BIS  BAJO",Madrid,Madrid,PINTO,2808 - Pinto,ASEPEYO,G08215824,3.0TD,ENDESA,,SIN LECTURA,49895537,65902,65902,0.00,87415,87415,0.00,70714,74716,0.00,66749,68140,0.00,24965,24965,0.00,68187,69929,0.00,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,50.00,70.00,70.00,70.00,70.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,,,,,,,0.00,19232823,,,,,,,,,,,,,0.00,0.00,0.00,,TRUE,,,
