"Número de factura";"Estado de factura";"Tipo de factura";"CUPS";"Fecha desde";"Fecha hasta";"Fecha emisión";"Fecha inicio energia";"Fecha fin energia";"Fecha inicio potencia";"Fecha fin potencia";"Base imponible (€)";"Dirección";"Municipio";"Provincia";"Nombre suministro";"Código suministro";"Razón social";"CIF";"Tarifa de acceso";"Comercializadora";"Remesa";"Tipo de lectura";"Número de contador";"Lectura inicio consumo activa P1 (kWh)";"Lectura fin consumo activa P1 (kWh)";"Consumo activa P1 (kWh)";"Lectura inicio consumo activa P2 (kWh)";"Lectura fin consumo activa P2 (kWh)";"Consumo activa P2 (kWh)";"Lectura inicio consumo activa P3 (kWh)";"Lectura fin consumo activa P3 (kWh)";"Consumo activa P3 (kWh)";"Lectura inicio consumo activa P4 (kWh)";"Lectura fin consumo activa P4 (kWh)";"Consumo activa P4 (kWh)";"Lectura inicio consumo activa P5 (kWh)";"Lectura fin consumo activa P5 (kWh)";"Consumo activa P5 (kWh)";"Lectura inicio consumo activa P6 (kWh)";"Lectura fin consumo activa P6 (kWh)";"Consumo activa P6 (kWh)";"Consumo activa total (kWh)";"Lectura inicio consumo reactiva inductiva P1 (kVArh)";"Lectura fin consumo reactiva inductiva P1 (kVArh)";"Consumo reactiva inductiva P1 (kVarh)";"Lectura inicio consumo reactiva inductiva P2 (kVArh)";"Lectura fin consumo reactiva inductiva P2 (kVArh)";"Consumo reactiva inductiva P2 (kVarh)";"Lectura inicio consumo reactiva inductiva P3 (kVArh)";"Lectura fin consumo reactiva inductiva P3 (kVArh)";"Consumo reactiva inductiva P3 (kVarh)";"Lectura inicio consumo reactiva inductiva P4 (kVArh)";"Lectura fin consumo reactiva inductiva P4 (kVArh)";"Consumo reactiva inductiva P4 (kVarh)";"Lectura inicio consumo reactiva inductiva P5 (kVArh)";"Lectura fin consumo reactiva inductiva P5 (kVArh)";"Consumo reactiva inductiva P5 (kVarh)";"Lectura inicio consumo reactiva inductiva P6 (kVArh)";"Lectura fin consumo reactiva inductiva P6 (kVArh)";"Consumo reactiva inductiva P6 (kVarh)";"Consumo reactiva inductiva total (kVarh)";"Lectura fin maxímetro P1 (kW)";"Maxímetro P1 (kW)";"Lectura fin maxímetro P2 (kW)";"Maxímetro P2 (kW)";"Lectura fin maxímetro P3 (kW)";"Maxímetro P3 (kW)";"Lectura fin maxímetro P4 (kW)";"Maxímetro P4 (kW)";"Lectura fin maxímetro P5 (kW)";"Maxímetro P5 (kW)";"Lectura fin maxímetro P6 (kW)";"Maxímetro P6 (kW)";"Maxímetro total (kW)";"Potencia contratada P1 (kW)";"Potencia contratada P2 (kW)";"Potencia contratada P3 (kW)";"Potencia contratada P4 (kW)";"Potencia contratada P5 (kW)";"Potencia contratada P6 (kW)";"Importe TE (€)";"Importe TP (€)";"Importe TR (€)";"Importe IE";"Importe alquiler (€)";"Importe impuestos (€)";"Importe otros conceptos (€)";"Importe otros conceptos sin IE (€)";"Cuenta bancaria";"Factura rectificada";"Importe total (€)";"Importe excesos P1";"Importe excesos P2";"Importe excesos P3";"Importe excesos P4";"Importe excesos P5";"Importe excesos P6";"Importe excesos de potencia";"Nombre del fichero";"Importe TE P1(€)";"Importe TE P2(€)";"Importe TE P3(€)";"Importe TE P4(€)";"Importe TE P5(€)";"Importe TE P6(€)";"Importe TP P1(€)";"Importe TP P2(€)";"Importe TP P3(€)";"Importe TP P4(€)";"Importe TP P5(€)";"Importe TP P6(€)";"Consumo vertido (kWh)";"Precio vertido (€/kWh)";"Importe TE vertido (€)";"Ajuste gas";"Ignorar restricciones";"Estado pago";"Tensión lectura";"Importe otros conceptos sin impuestos (€)"
"P25CON008152416";"ACTIVA";"NORMAL";"ES0031405968956002BN";"31/12/2024";"31/01/2025";"19/02/2025";;;;;"10,158.75";"VIA AUGUSTA 34, BJO";"Barcelona";"Barcelona";"VIA AUGUSTA, 36";"8000 - Via Augusta, 36 ";"ASEPEYO";"G08215824";"3.0TD";"ENDESA";;"REAL";"53002900";;;"15,307.00";;;"10,439.00";;;"0.00";;;"0.00";;;"0.00";;;"12,577.00";"38,323.00";;;"0.00";;;"0.00";;;"0.00";;;"0.00";;;"0.00";;;"0.00";"0.00";;"135.00";;"125.00";;"0.00";;"0.00";;"0.00";;"109.00";"135.00";"178.00";"178.00";"178.00";"178.00";"178.00";"330.00";"9,019.14";"645.49";"0.00";"494.12";"0.00";"2,133.34";"0.00";"0.00";"";;"12,292.09";;;;;;;"0.00";"18243391";;;;;;;;;;;;;"0.00";"0.00";"0.00";;"No";;;
"P25CON002515047";"ACTIVA";"NORMAL";"ES0031405968956002BN";"30/11/2024";"31/12/2024";"20/01/2025";;;;;"8,502.00";"VIA AUGUSTA 34, BJO";"Barcelona";"Barcelona";"VIA AUGUSTA, 36";"8000 - Via Augusta, 36 ";"ASEPEYO";"G08215824";"3.0TD";"ENDESA";;"REAL";"53002900";;;"12,563.00";;;"8,758.00";;;"0.00";;;"0.00";;;"0.00";;;"12,128.00";"33,449.00";;;"0.00";;;"0.00";;;"0.00";;;"0.00";;;"0.00";;;"0.00";"0.00";;"128.00";;"116.00";;"0.00";;"0.00";;"0.00";;"115.00";"128.00";"178.00";"178.00";"178.00";"178.00";"178.00";"330.00";"7,497.05";"591.41";"0.00";"413.54";"0.00";"1,785.42";"0.00";"0.00";"";;"10,287.42";;;;;;;"0.00";"18064989";;;;;;;;;;;;;"0.00";"0.00";"0.00";;"No";;;
"P24CON053014410";"ACTIVA";"NORMAL";"ES0031405968956002BN";"31/10/2024";"30/11/2024";"20/12/2024";;;;;"7,927.17";"VIA AUGUSTA 34, BJO";"Barcelona";"Barcelona";"VIA AUGUSTA, 36";"8000 - Via Augusta, 36 ";"ASEPEYO";"G08215824";"3.0TD";"ENDESA";;"REAL";"53002900";;;"0.00";;;"14,410.00";;;"10,149.00";;;"0.00";;;"0.00";;;"11,908.00";"36,467.00";;;"0.00";;;"0.00";;;"0.00";;;"0.00";;;"0.00";;;"0.00";"0.00";;"0.00";;"148.00";;"136.00";;"0.00";;"0.00";;"108.00";"148.00";"178.00";"178.00";"178.00";"178.00";"178.00";"330.00";"6,969.28";"572.31";"0.00";"385.58";"0.00";"1,664.71";"0.00";"0.00";"";;"9,591.88";;;;;;;"0.00";"17976031";;;;;;;;;;;;;"0.00";"0.00";"0.00";;"No";;;
"P24CON047610178";"ACTIVA";"NORMAL";"ES0031405968956002BN";"30/09/2024";"31/10/2024";"20/11/2024";;;;;"9,139.42";"VIA AUGUSTA 34, BJO";"Barcelona";"Barcelona";"VIA AUGUSTA, 36";"8000 - Via Augusta, 36 ";"ASEPEYO";"G08215824";"3.0TD";"ENDESA";;"REAL";"53002900";;;"0.00";;;"0.00";;;"0.00";;;"17,978.00";;;"12,783.00";;;"12,251.00";"43,012.00";;;"0.00";;;"0.00";;;"0.00";;;"0.00";;;"0.00";;;"0.00";"0.00";;"0.00";;"0.00";;"0.00";;"133.00";;"133.00";;"123.00";"133.00";"178.00";"178.00";"178.00";"178.00";"178.00";"330.00";"8,103.28";"591.41";"0.00";"444.54";"0.00";"1,919.28";"0.00";"0.19";"";;"11,058.70";;;;;;;"0.00";"17823415";;;;;;;;;;;;;"0.00";"0.00";"0.00";;"No";;;
"P24CON042677164";"ACTIVA";"NORMAL";"ES0031405968956002BN";"31/08/2024";"30/09/2024";"17/10/2024";;;;;"9,037.64";"VIA AUGUSTA 34, BJO";"Barcelona";"Barcelona";"VIA AUGUSTA, 36";"8000 - Via Augusta, 36 ";"ASEPEYO";"G08215824";"3.0TD";"ENDESA";;"REAL";"53002900";;;"0.00";;;"0.00";;;"16,661.00";;;"11,954.00";;;"0.00";;;"13,139.00";"41,754.00";;;"0.00";;;"0.00";;;"0.00";;;"0.00";;;"0.00";;;"0.00";"0.00";;"0.00";;"0.00";;"157.00";;"157.00";;"0.00";;"136.00";"157.00";"178.00";"178.00";"178.00";"178.00";"178.00";"330.00";"8,025.55";"572.31";"0.00";"439.59";"0.00";"1,897.90";"0.00";"0.19";"";;"10,935.54";;;;;;;"0.00";"17720819";;;;;;;;;;;;;"0.00";"0.00";"0.00";;"No";;;
"P24CON037268077";"ACTIVA";"NORMAL";"ES0031405968956002BN";"31/07/2024";"31/08/2024";"18/09/2024";;;;;"10,098.44";"VIA AUGUSTA 34, BJO";"Barcelona";"Barcelona";"VIA AUGUSTA, 36";"8000 - Via Augusta, 36 ";"ASEPEYO";"G08215824";"3.0TD";"ENDESA";;"REAL";;;;"0.00";;;"0.00";;;"17,757.00";;;"12,495.00";;;"0.00";;;"17,220.00";"47,472.00";;;"0.00";;;"0.00";;;"0.00";;;"0.00";;;"0.00";;;"0.00";"0.00";;"0.00";;"0.00";;"150.00";;"145.00";;"0.00";;"135.00";"150.00";"178.00";"178.00";"178.00";"178.00";"178.00";"330.00";"9,015.65";"591.41";"0.00";"491.19";"0.00";"2,120.67";"0.00";"0.19";"";;"12,219.11";;;;;;;"0.00";"P24CON037268077";;;;;;;;;;;;;"0.00";"0.00";"0.00";;"No";;;
"PMR401N0417860";"ACTIVA";"NORMAL";"ES0031405968956002BN";"30/06/2024";"31/07/2024";"16/08/2024";;;;;"13,708.57";"VIA AUGUSTA 34, BJO";"Barcelona";"Barcelona";"VIA AUGUSTA, 36";"8000 - Via Augusta, 36 ";"ASEPEYO";"G08215824";"3.0TD";"ENDESA";;"REAL";"053002900";;;"21,297.00";;;"14,779.00";;;"0.00";;;"0.00";;;"0.00";;;"19,021.00";"55,097.00";;;"0.00";;;"0.00";;;"0.00";;;"0.00";;;"0.00";;;"0.00";"0.00";;"139.00";;"137.00";;"0.00";;"0.00";;"0.00";;"129.00";"139.00";"178.00";"178.00";"178.00";"178.00";"178.00";"330.00";"12,450.38";"591.40";"0.00";"666.79";"0.00";"2,878.80";"0.00";"0.00";"";;"16,587.37";;;;;;;"0.00";"17410236";;;;;;;;;;;;;"0.00";"0.00";"0.00";;"No";"Pago pendiente";;
"PMR401N0395579";"ACTIVA";"NORMAL";"ES0031405968956002BN";"31/05/2024";"30/06/2024";"30/07/2024";;;;;"9,317.90";"VIA AUGUSTA 34, BJO";"Barcelona";"Barcelona";"VIA AUGUSTA, 36";"8000 - Via Augusta, 36 ";"ASEPEYO";"G08215824";"3.0TD";"ENDESA";;"REAL";"053002900";;;"0.00";;;"0.00";;;"16,909.00";;;"11,834.00";;;"0.00";;;"14,641.00";"43,384.00";;;"0.00";;;"0.00";;;"1.00";;;"1.00";;;"0.00";;;"1.00";"3.00";;"0.00";;"0.00";;"146.00";;"142.00";;"0.00";;"112.00";"146.00";"178.00";"178.00";"178.00";"178.00";"178.00";"330.00";"8,292.36";"572.32";"0.00";"453.22";"0.00";"1,956.76";"0.00";"0.00";"";;"11,274.66";;;;;;;"0.00";"17363654";;;;;;;;;;;;;"0.00";"0.00";"0.00";;"No";"Pago pendiente";;
"PMR401N0346816";"ACTIVA";"NORMAL";"ES0031405968956002BN";"30/04/2024";"31/05/2024";"17/06/2024";;;;;"8,750.09";"VIA AUGUSTA 34, BJO";"Barcelona";"Barcelona";"VIA AUGUSTA, 36";"8000 - Via Augusta, 36 ";"ASEPEYO";"G08215824";"3.0TD";"ENDESA";;"REAL";"053002900";;;"0.00";;;"0.00";;;"0.00";;;"16,505.00";;;"11,503.00";;;"14,039.00";"42,047.00";;;"0.00";;;"0.00";;;"0.00";;;"0.00";;;"0.00";;;"0.00";"0.00";;"0.00";;"0.00";;"0.00";;"133.00";;"127.00";;"100.00";"133.00";"178.00";"178.00";"178.00";"178.00";"178.00";"330.00";"7,838.36";"591.40";"0.00";"320.33";"0.00";"1,837.52";"0.00";"0.00";"";;"10,587.61";;;;;;;"0.00";"17207117";;;;;;;;;;;;;"0.00";"0.00";"0.00";;"No";;;
"PMR401N0296032";"ACTIVA";"NORMAL";"ES0031405968956002BN";"31/03/2024";"30/04/2024";"04/06/2024";;;;;"8,114.32";"VIA AUGUSTA 34, BJO";"Barcelona";"Barcelona";"VIA AUGUSTA, 36";"8000 - Via Augusta, 36 ";"ASEPEYO";"G08215824";"3.0TD";"ENDESA";;"REAL";"053002900";;;"0.00";;;"0.00";;;"0.00";;;"15,472.00";;;"10,780.00";;;"12,518.00";"38,770.00";;;"0.00";;;"0.00";;;"0.00";;;"1.00";;;"1.00";;;"1.00";"3.00";;"0.00";;"0.00";;"0.00";;"136.00";;"132.00";;"98.00";"136.00";"178.00";"178.00";"178.00";"178.00";"178.00";"330.00";"7,244.94";"572.32";"0.00";"297.06";"0.00";"1,704.01";"0.00";"0.00";"";;"9,818.33";;;;;;;"0.00";"17098239";;;;;;;;;;;;;"0.00";"0.00";"0.00";;"No";;;
