Número de factura,Estado de factura,Tipo de factura,CUPS,Fecha desde,Fecha hasta,Fecha emisión,Fecha inicio energia,Fecha fin energia,Fecha inicio potencia,Fecha fin potencia,Base imponible (€),Dirección,Municipio,Provincia,Nombre suministro,Código suministro,Razón social,CIF,Tarifa de acceso,Comercializadora,Remesa,Tipo de lectura,Número de contador,Lectura inicio consumo activa P1 (kWh),Lectura fin consumo activa P1 (kWh),Consumo activa P1 (kWh),Lectura inicio consumo activa P2 (kWh),Lectura fin consumo activa P2 (kWh),Consumo activa P2 (kWh),Lectura inicio consumo activa P3 (kWh),Lectura fin consumo activa P3 (kWh),Consumo activa P3 (kWh),Lectura inicio consumo activa P4 (kWh),Lectura fin consumo activa P4 (kWh),Consumo activa P4 (kWh),Lectura inicio consumo activa P5 (kWh),Lectura fin consumo activa P5 (kWh),Consumo activa P5 (kWh),Lectura inicio consumo activa P6 (kWh),Lectura fin consumo activa P6 (kWh),Consumo activa P6 (kWh),Consumo activa total (kWh),Lectura inicio consumo reactiva inductiva P1 (kVArh),Lectura fin consumo reactiva inductiva P1 (kVArh),Consumo reactiva inductiva P1 (kVarh),Lectura inicio consumo reactiva inductiva P2 (kVArh),Lectura fin consumo reactiva inductiva P2 (kVArh),Consumo reactiva inductiva P2 (kVarh),Lectura inicio consumo reactiva inductiva P3 (kVArh),Lectura fin consumo reactiva inductiva P3 (kVArh),Consumo reactiva inductiva P3 (kVarh),Lectura inicio consumo reactiva inductiva P4 (kVArh),Lectura fin consumo reactiva inductiva P4 (kVArh),Consumo reactiva inductiva P4 (kVarh),Lectura inicio consumo reactiva inductiva P5 (kVArh),Lectura fin consumo reactiva inductiva P5 (kVArh),Consumo reactiva inductiva P5 (kVarh),Lectura inicio consumo reactiva inductiva P6 (kVArh),Lectura fin consumo reactiva inductiva P6 (kVArh),Consumo reactiva inductiva P6 (kVarh),Consumo reactiva inductiva total (kVarh),Lectura fin maxímetro P1 (kW),Maxímetro P1 (kW),Lectura fin maxímetro P2 (kW),Maxímetro P2 (kW),Lectura fin maxímetro P3 (kW),Maxímetro P3 (kW),Lectura fin maxímetro P4 (kW),Maxímetro P4 (kW),Lectura fin maxímetro P5 (kW),Maxímetro P5 (kW),Lectura fin maxímetro P6 (kW),Maxímetro P6 (kW),Maxímetro total (kW),Potencia contratada P1 (kW),Potencia contratada P2 (kW),Potencia contratada P3 (kW),Potencia contratada P4 (kW),Potencia contratada P5 (kW),Potencia contratada P6 (kW),Importe TE (€),Importe TP (€),Importe TR (€),Importe IE,Importe alquiler (€),Importe impuestos (€),Importe otros conceptos (€),Importe otros conceptos sin IE (€),Cuenta bancaria,Factura rectificada,Importe total (€),Importe excesos P1,Importe excesos P2,Importe excesos P3,Importe excesos P4,Importe excesos P5,Importe excesos P6,Importe excesos de potencia,Nombre del fichero,Importe TE P1(€),Importe TE P2(€),Importe TE P3(€),Importe TE P4(€),Importe TE P5(€),Importe TE P6(€),Importe TP P1(€),Importe TP P2(€),Importe TP P3(€),Importe TP P4(€),Importe TP P5(€),Importe TP P6(€),Consumo vertido (kWh),Precio vertido (€/kWh),Importe TE vertido (€),Ajuste gas,Ignorar restricciones,Estado pago,Tensión lectura,Importe otros conceptos sin impuestos (€)
P26AGN000002246,ACTIVA,NORMAL,ES0021000010507535WM,22/12/2025,26/01/2026,02/02/2026,,,,,196.40,PG INDUSTRIAL REY JUAN CARLOS I 0,Almussafes,Valencia/València,ALMUSSAFES,4608 - Almussafes,ASEPEYO,G08215824,2.0TD,ENDESA,,REAL,45141756,43663,44006,343.00,59591,59942,351.00,15998,16337,339.00,,,0.00,,,0.00,,,0.00,"1,033.00",,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,10.39,10.39,0.00,0.00,0.00,0.00,157.21,27.54,0.00,9.48,1.56,41.24,0.00,0.61,,,237.64,,,,,,,0.00,20049159,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P26AGN000002245,ACTIVA,NORMAL,ES0033770521183001JQ,13/12/2025,13/01/2026,02/02/2026,,,,,645.56,"RONDA MUSICO XOSE CASTIÑEIRA, 34",Lugo,Lugo,LUGO,2701 - Lugo,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,21E4E5MA908405603,8896,9927,"1,031.00",11044,11765,721.00,8736,8736,0.00,9630,9630,0.00,4009,4009,0.00,33992,36244,"2,252.00","4,004.00",0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,0.00,14,14.61,12,12.97,0,0.00,0,0.00,0,0.00,11,11.54,14.61,20.00,20.00,20.00,20.00,20.00,20.00,536.22,70.56,0.00,31.05,7.25,135.57,0.00,0.48,,,781.13,,,,,,,0.00,20049092,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P26AGN000002246,ACTIVA,NORMAL,ES0031405650793004AQ,03/12/2025,06/01/2026,02/02/2026,,,,,60.18,"AV CATALUNYA 45, 1-1,",Tarragona,Tarragona,TARRAGONA OFICINA,4301 - Tarragona Oficina,ASEPEYO,G08215824,2.0TD,ENDESA,,REAL,203901013,24428,24543,115.46,7836,7962,125.17,1926,1962,35.41,,,0.00,,,0.00,,,0.00,276.04,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,4.40,4.40,0.00,0.00,0.00,0.00,44.59,11.33,0.00,2.88,0.91,12.64,0.00,0.47,,,72.82,,,,,,,0.00,20049077,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P26AGN000002246,ACTIVA,NORMAL,ES0031406277612002GZ,02/12/2025,06/01/2026,02/02/2026,,,,,37.03,"AUME CASANOVAS 190, BJO-1,","Prat de Llobregat, El",Barcelona,EL PRAT DE LLOBREGAT SOS,0815 - El Prat De Llobregat Sos ,ASEPEYO,G08215824,2.0TD,ENDESA,,SIN LECTURA,463900,81,81,0.00,86,86,0.00,3,3,0.00,,,0.00,,,0.00,,,0.00,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,13.20,13.20,0.00,0.00,0.00,0.00,0.00,34.96,0.00,0.02,1.57,7.78,0.00,0.48,,,44.81,,,,,,,0.00,20049071,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
N26AGN000000483,ACTIVA,NORMAL,ES0031601066550008TV,02/12/2025,04/01/2026,02/02/2026,,,,,156.78,"Avda. Marítima, 77 (Edificio Aroda)",Santa Cruz de la Palma,Santa Cruz de Tenerife,SANTA CRUZ DE LA PALMA,3802 - Santa Cruz De La Palma,ASEPEYO,G08215824,2.0TD,ENDESA,,REAL,68033,81200,81406,205.91,12848,13038,189.69,12380,12819,438.67,,,0.00,,,0.00,,,0.00,834.27,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,,,0.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,0.00,13.10,13.10,0.00,0.00,0.00,0.00,114.57,32.73,0.00,7.55,1.48,4.76,0.00,0.45,,,161.54,,,,,,,0.00,20049100,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P26AGN000002246,ACTIVA,NORMAL,ES0031408367614001ZV,30/11/2025,31/12/2025,02/02/2026,,,,,508.61,"Passeig de l'Estació, 5",Valls,Tarragona,VALLS,4302 - Valls ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,200306460,27208,28294,"1,086.00",40747,41452,704.81,23748,23748,0.00,20862,20862,0.00,8149,8149,0.00,21672,22185,513.28,"2,304.09",28,28,0.01,88,88,0.03,110,110,0.00,44,44,0.00,83,83,0.00,230,230,0.01,0.05,21,21.47,21,21.17,0,0.00,0,0.00,0,0.00,21,21.41,21.47,30.00,30.00,30.00,43.65,43.65,43.65,358.62,114.38,0.00,24.20,11.01,106.81,0.00,0.40,,,615.42,,,,,,,0.00,20049177,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P26AGN000002246,ACTIVA,NORMAL,ES0021000005648016LH,30/11/2025,31/12/2025,02/02/2026,,,,,"1,325.09","Avda. de la  Constitución, 99",Torrejón de Ardoz,Madrid,TORREJÓN DE ARDOZ,2809 - Torrejón De Ardoz ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,49888764,46985,49356,"2,371.00",71132,72698,"1,566.00",42051,42051,0.00,37077,37077,0.00,16212,16212,0.00,101478,104536,"3,058.00","6,995.00",20311,21369,"1,054.00",29660,30344,679.00,18901,18901,0.00,16211,16211,0.00,6273,6273,0.00,52607,54387,"1,766.00","3,499.00",49,49.21,45,45.96,0,0.00,0,0.00,0,0.00,39,39.35,49.21,31.00,66.00,66.00,66.00,66.00,66.00,990.30,174.41,18.03,64.15,6.14,278.27,0.00,0.40,,,"1,603.36",,,,,,,71.66,20049142,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P26AGN000002245,ACTIVA,NORMAL,ES0031408035080008ER,30/11/2025,31/12/2025,02/02/2026,,,,,349.77,"Bisbe Panyelles, 17 - local 3",Vilafranca del Penedès,Barcelona,VILAFRANCA DEL PENEDÉS,0833 - Vilafranca Del Penedés ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,300073180,14372,15163,791.00,24252,24618,366.00,12951,12951,0.00,10121,10121,0.00,5122,5122,0.00,24486,25062,576.00,"1,733.00",5146,5478,332.00,8862,9017,155.00,4272,4272,0.00,2571,2571,0.00,1126,1126,0.00,7066,7280,214.00,701.00,11,11.00,11,11.00,0,0.00,0,0.00,0,0.00,11,11.00,11.00,7.00,9.00,9.00,9.00,9.00,31.50,260.01,31.01,4.37,16.48,11.01,73.45,0.00,0.40,,,423.22,,,,,,,26.49,20049129,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P26AGN000002246,ACTIVA,NORMAL,ES0031103397469001TT,30/11/2025,31/12/2025,02/02/2026,,,,,656.06,"AVD. ALMAZORA, 10",Olula del Río,Almería,OLULA DEL RÍO,402 - Olula Del Río ,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,13007002,17943,19028,"1,085.00",21683,22392,709.00,16109,16109,0.00,11689,11689,0.00,3770,3770,0.00,21734,23090,"1,356.00","3,150.00",5583,5722,139.00,5229,5334,105.00,6158,6158,0.00,3533,3533,0.00,532,532,0.00,2937,3175,238.00,482.00,22,22.00,22,22.00,0,0.00,0,0.00,0,0.00,14,14.00,22.00,47.00,47.00,47.00,47.00,47.00,47.00,447.46,165.81,0.00,31.38,11.01,137.77,0.00,0.40,,,793.83,,,,,,,0.00,20049107,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
P26AGN000002245,ACTIVA,NORMAL,ES0021000002078282VE,30/11/2025,31/12/2025,02/02/2026,,,,,"2,711.57","Vitoria, 54 bjo.",Burgos,Burgos,BURGOS,0901 - Burgos,ASEPEYO,G08215824,3.0TD,ENDESA,,REAL,49516493,70952,75618,"4,666.00",124288,127846,"3,558.00",62620,62620,0.00,42059,42059,0.00,31115,31115,0.00,190109,199724,"9,615.00","17,839.00",15967,16561,594.00,29563,30014,451.00,14468,14468,0.00,12323,12323,0.00,7566,7566,0.00,34471,35561,"1,090.00","2,135.00",44,44.88,43,43.82,0,0.00,0,0.00,0,0.00,39,39.55,44.88,38.00,60.00,60.00,60.00,60.00,60.00,"2,398.50",174.94,0.00,131.59,6.14,569.43,0.00,0.40,,,"3,281.00",,,,,,,0.00,20049212,,,,,,,,,,,,,0.00,0.00,0.00,,FALSE,,,0.00
